cutoff_week,model,del_aopc,ins_aopc,del_aopc_disab_Y,del_aopc_disab_N,gap_disab_Y_minus_N,gap_disab_lo,gap_disab_hi,del_aopc_deprived,del_aopc_affluent,gap_imd_deprived_minus_affluent,gap_imd_lo,gap_imd_hi
5,logreg,0.029526891143059914,0.01729881431015362,0.07241750331087644,0.025215802465883914,0.047201700844992533,0.00549120800282149,0.09142883448127215,0.07135795488905261,-0.0019407243394598333,0.07329867922851245,0.03894821244448989,0.10562345463422255
5,rf,0.04431149565405767,0.12186292079637887,0.07150764375842922,0.04157791363623015,0.029929730122199065,-0.007244058817487295,0.06727854413212635,0.07314989244051609,0.025102512811777406,0.04804737962873869,0.020505568082576326,0.07852498771505309
5,hgb,0.05562721471592282,0.05809335370911733,0.0708601982890003,0.054096093109531326,0.01676410517946897,-0.024297715286775476,0.055847404625600436,0.08456192454635385,0.039380763030418445,0.0451811615159354,0.01656763686023338,0.0750889537890314
10,logreg,-0.04968745223152798,-0.07878311522585463,0.007278964219457312,-0.05541335029006427,0.06269231450952159,0.015131095020747855,0.1160334150022838,0.005329010185913804,-0.08072944585990241,0.08605845604581622,0.04589092541034557,0.12924070856331552
10,rf,0.10217123779325171,0.05879740563720503,0.14985401459854014,0.09737847152595568,0.052475543072584466,0.01281688528353627,0.09606700976352844,0.14245966825721426,0.07732137649460484,0.06513829176260942,0.03259671969684771,0.09888577578109485
10,hgb,0.19651181532765435,0.15859741056899126,0.24181990938383607,0.19195773690821424,0.04986217247562183,0.0018619138035368599,0.10337696044955105,0.24652011420490927,0.172964646195291,0.07355546800961826,0.03530384341120201,0.11476491898877712
15,logreg,-0.06040426657062713,-0.10774799740122942,-0.021639467650200757,-0.06430065501677418,0.04266118736657342,-0.010382111924568043,0.1007622617669865,0.0090276145225693,-0.08868932155544022,0.09771693607800952,0.05465650138633514,0.14412277063439202
15,rf,0.14356518518518518,0.23930555555555558,0.20223033252230335,0.13766854161571696,0.0645617909065864,0.018144418977031153,0.11315207310992227,0.19767780049988634,0.11761738116068823,0.08006041933919811,0.04451859187335732,0.11765894897723675
15,hgb,0.22769788385246867,0.18766265982926006,0.2899282943536217,0.2214428829436954,0.06848541140992631,0.012520766375228514,0.1260255918014362,0.29762158061833266,0.19696028484550407,0.10066129577282859,0.05954485099323767,0.14094697722673444
25,logreg,-0.10429373325289645,-0.16382198599327352,-0.07515622518356786,-0.10722244829728234,0.03206622311371447,-0.01991723496193951,0.09205883237303446,-0.03731314883463999,-0.13372507465510486,0.09641192582046487,0.05509476897365192,0.1413504941193668
25,rf,0.14412444444444444,0.20129259259259258,0.1946512570965126,0.13904581397244645,0.05560544312406615,0.009311000925871404,0.1102422810828887,0.20090320381731425,0.11898804316127147,0.08191516065604278,0.045778642828133195,0.1218048439241618
25,hgb,0.25598567918153997,0.17575275415468702,0.29931013081954616,0.25163098374910653,0.04767914707043963,-0.007179251834767239,0.11164120451066256,0.3286060469490468,0.22026521844179614,0.10834082850725069,0.06403323601819914,0.1557261185673677
