cutoff_week,pair,spearman,spearman_lo,spearman_hi,kendall,kendall_lo,kendall_hi
5,logreg-rf,0.47374847374847373,0.4578754578754578,0.49267399267399264,0.3162393162393163,0.2991452991452992,0.33333333333333337
5,logreg-hgb,0.36385836385836384,0.35225885225885223,0.39010989010989006,0.2592592592592593,0.24786324786324793,0.2763532763532764
5,rf-hgb,0.9126984126984127,0.9047619047619047,0.9236874236874236,0.7492877492877494,0.737891737891738,0.7777777777777779
10,logreg-rf,0.5598290598290598,0.5415140415140415,0.5781593406593407,0.39601139601139607,0.37321937321937326,0.4131054131054132
10,logreg-hgb,0.5305250305250305,0.5128205128205128,0.5592338217338217,0.4017094017094018,0.378917378917379,0.4245014245014246
10,rf-hgb,0.7417582417582417,0.7191544566544568,0.7668040293040294,0.5726495726495727,0.5497150997150998,0.6011396011396013
15,logreg-rf,0.6959706959706959,0.6666666666666665,0.7039072039072038,0.5213675213675214,0.49287749287749294,0.5327635327635328
15,logreg-hgb,0.5695970695970696,0.553113553113553,0.6013431013431013,0.4245014245014246,0.4017094017094018,0.45299145299145305
15,rf-hgb,0.6697191697191697,0.6587148962148961,0.7075854700854701,0.5042735042735044,0.4871794871794872,0.5441595441595443
25,logreg-rf,0.735042735042735,0.7216117216117217,0.7527472527472527,0.5441595441595443,0.5327635327635328,0.5669515669515671
25,logreg-hgb,0.6532356532356532,0.6385836385836385,0.6654456654456654,0.5270655270655271,0.50997150997151,0.54985754985755
25,rf-hgb,0.7887667887667887,0.7704517704517704,0.7991452991452991,0.6068376068376069,0.5897435897435899,0.623931623931624
