dataset,snapshot,label,model,axis,tier,appendix,n_A,n_B,group_A,group_B,dp_gap,eo_gap,eo_lo,eo_hi,fpr_gap,fpr_lo,fpr_hi
UCI,T0,primary,logreg,scholarship,primary,False,199,527,Y,N,-0.21972290293974617,-0.2181919642857143,-0.38689196108550955,-0.03735728001181648,-0.09615675104119462,-0.15877211777639566,-0.024215786515285165
UCI,T0,primary,logreg,gender,primary,False,251,475,M,F,0.17923254351016982,0.07970149253731346,-0.03802051821418019,0.20244071923574072,0.08989286025376733,-0.0022601767281387264,0.1809987754060031
UCI,T0,primary,logreg,age,primary,False,313,269,young,older,-0.4585792842975403,-0.4103067484662577,-0.5338907900865993,-0.2885329380764164,-0.3604724908831457,-0.4583052245544263,-0.2668990971490972
UCI,T0,primary,logreg,disability,underpowered,False,7,719,Y,N,0.0005960659646334077,-0.4875444839857651,-0.544891876656632,-0.43202011403230917,0.3447488584474886,-0.16324270557029177,0.856841046277666
UCI,T0,primary,logreg,debtor,robustness,False,99,627,Y,N,0.13769271664008503,0.023584905660377353,-0.11087919922072156,0.1479228767286016,-0.010887996430165109,-0.14249597246567655,0.13609663541990608
UCI,T0,primary,logreg,fin_vulnerable,robustness,False,152,574,Y,N,0.20520814230698697,0.06667342696344375,-0.0426461038961039,0.17684982052999362,0.00313947099913664,-0.12584668989547038,0.14868882275132272
UCI,T0,primary,rf,scholarship,primary,False,199,527,Y,N,-0.26459622591134035,-0.2728794642857143,-0.4358915996349513,-0.08782784665382769,-0.12783496256015192,-0.1934230713230342,-0.06295859540267941
UCI,T0,primary,rf,gender,primary,False,251,475,M,F,0.19193122247850702,0.08825870646766171,-0.02915480163624696,0.20857557932263812,0.08513109375453673,-0.004013250075175013,0.17319477401960878
UCI,T0,primary,rf,age,primary,False,313,269,young,older,-0.5744028884639595,-0.5228629856850715,-0.644234826823002,-0.4024428187470317,-0.4904867607420327,-0.5912422425771195,-0.39043721356339955
UCI,T0,primary,rf,disability,underpowered,False,7,719,Y,N,-0.027220345718259487,-0.2004744958481613,-0.5781818181818181,0.4842270309921144,0.07876712328767124,-0.1959731007603348,0.6345142740827442
UCI,T0,primary,rf,debtor,robustness,False,99,627,Y,N,0.15257841573631042,0.03197064989517817,-0.09632536077943003,0.15641543833512114,-0.025345827755466316,-0.1508593084653381,0.12001310479948721
UCI,T0,primary,rf,fin_vulnerable,robustness,False,152,574,Y,N,0.20364936732074085,0.05278101708665017,-0.06357140255661979,0.16896475091865767,-0.0461502236873087,-0.15493310689609352,0.07609443136028261
UCI,T0,primary,hgb,scholarship,primary,False,199,527,Y,N,-0.20310280053016505,-0.2784598214285714,-0.420167261816852,-0.12461223250962815,-0.07095228847025312,-0.1313107841843077,-0.008114278024080353
UCI,T0,primary,hgb,gender,primary,False,251,475,M,F,0.1264667645208639,0.106865671641791,-0.01061738232715462,0.2222186341885394,-0.02891902093435149,-0.09947103852052973,0.04326609314527699
UCI,T0,primary,hgb,age,primary,False,313,269,young,older,-0.4023540031117498,-0.34601226993865025,-0.4576559108053837,-0.22413721336135128,-0.3343110829237355,-0.43037477077556535,-0.23973084449090645
UCI,T0,primary,hgb,disability,underpowered,False,7,719,Y,N,-0.10609974170474867,-0.43416370106761565,-0.4874681189241138,-0.3767040434488852,0.11986301369863014,-0.15544718929982387,0.6745922133587333
UCI,T0,primary,hgb,debtor,robustness,False,99,627,Y,N,0.08718766613503459,-0.05450733752620546,-0.19001569757598893,0.06807419591959604,0.018027666220437305,-0.10686371100164202,0.16903997289972897
UCI,T0,primary,hgb,fin_vulnerable,robustness,False,152,574,Y,N,0.11910874747845224,-0.05729351518531661,-0.17215799929157086,0.05848783883165169,-0.0023546032493524938,-0.12168439175738446,0.118705818710859
UCI,T0,fold,logreg,scholarship,primary,False,233,652,Y,N,-0.17979672977171596,-0.16796875,-0.3295256114323175,0.004223790322580633,-0.09498644986449865,-0.13892958336105943,-0.05143564193061091
UCI,T0,fold,logreg,gender,primary,False,314,571,M,F,0.11276450968799848,0.053532338308457716,-0.06590506166495379,0.17352905486431444,0.03803650164648101,-0.020468142053994387,0.09392150139409303
