dataset,snapshot,label,model,axis,tier,appendix,n_A,n_B,group_A,group_B,dp_gap,eo_gap,eo_lo,eo_hi,fpr_gap,fpr_lo,fpr_hi
UCI,T0,fold,logreg,age,primary,False,376,323,young,older,-0.37139351821355643,-0.3849488752556237,-0.4987047196211225,-0.26543799549697517,-0.267171926910299,-0.33622529107979976,-0.1871389912134328
UCI,T0,fold,logreg,disability,underpowered,False,10,875,Y,N,-0.00114285714285714,-0.06880189798339265,-0.45018386781805964,0.6145111009732358,0.036796536796536786,-0.12628426456474703,0.32554491807332714
UCI,T0,fold,logreg,debtor,robustness,False,118,767,Y,N,0.090612777053455,0.0018343815513626738,-0.1253306497223897,0.13451176514909755,-0.021151586368977682,-0.10290729095276917,0.07326221982176613
UCI,T0,fold,logreg,fin_vulnerable,robustness,False,175,710,Y,N,0.14104627766599598,0.03498453582112254,-0.07565548780487806,0.15777502640854973,-0.03561513981989302,-0.10302333745875757,0.04779492891823674
UCI,T0,fold,rf,scholarship,primary,False,233,652,Y,N,-0.178585534110956,-0.22321428571428573,-0.3802326242954428,-0.05242620167189142,-0.08861788617886178,-0.14097423829568048,-0.03876496790623818
UCI,T0,fold,rf,gender,primary,False,314,571,M,F,0.08410766673731412,0.023681592039801025,-0.08621837214388746,0.14014587076097326,0.013618351286487695,-0.04186341376401887,0.07627772030112537
UCI,T0,fold,rf,age,primary,False,376,323,young,older,-0.46784632105921875,-0.49349693251533744,-0.597925365773467,-0.3808947054640273,-0.38006644518272426,-0.4541055917981228,-0.30535092606374004
UCI,T0,fold,rf,disability,underpowered,False,10,875,Y,N,-0.12742857142857142,-0.08303677342823251,-0.4601796879742609,0.595064590542099,-0.13804713804713806,-0.16320316936399773,-0.1111111111111111
UCI,T0,fold,rf,debtor,robustness,False,118,767,Y,N,0.10104302477183832,0.03878406708595383,-0.09776906382558939,0.176942472594489,-0.030043086564825697,-0.113522859996481,0.06677427805091474
UCI,T0,fold,rf,fin_vulnerable,robustness,False,175,710,Y,N,0.15991951710261568,0.09684125133093341,-0.014297161172161177,0.2153783353809603,-0.04817523190466519,-0.12457729059372305,0.037210833678526185
UCI,T0,fold,hgb,scholarship,primary,False,233,652,Y,N,-0.11445140735669711,-0.16573660714285715,-0.298757571421758,-0.013926750211547509,-0.036905641783690574,-0.07295531078872297,0.00419793484379398
UCI,T0,fold,hgb,gender,primary,False,314,571,M,F,0.05431860519593516,-0.011840796019900457,-0.11253610050890586,0.10232331837531,0.006809175643243848,-0.03497066222612748,0.05338828716973879
UCI,T0,fold,hgb,age,primary,False,376,323,young,older,-0.2763734273104539,-0.33210633946830265,-0.42245663310369197,-0.236950621443546,-0.1867109634551495,-0.25454924473051754,-0.13012325400508162
UCI,T0,fold,hgb,disability,underpowered,False,10,875,Y,N,-0.1417142857142857,-0.29537366548042704,-0.3501472082997441,-0.242671568627451,-0.06902356902356903,-0.08925847036437477,-0.04931972789115646
UCI,T0,fold,hgb,debtor,robustness,False,118,767,Y,N,0.07301173402868319,-0.0007861635220125507,-0.12005194497235126,0.12614597842202746,-0.0032510771641206387,-0.06822729131302933,0.07445242838930173
UCI,T0,fold,hgb,fin_vulnerable,robustness,False,175,710,Y,N,0.09601609657947685,-0.005222329260254566,-0.10151292197913653,0.1060577018390504,-0.013914279910623606,-0.07263487338416996,0.059228518027555334
UCI,T1,primary,logreg,scholarship,primary,False,199,527,Y,N,-0.326337570203961,-0.2421875,-0.4389286435305756,-0.045922619047619205,-0.08208713666084029,-0.125,-0.04149154271693398
UCI,T1,primary,logreg,gender,primary,False,251,475,M,F,0.2746236108198784,0.14487562189054726,0.0388800136644964,0.25448535235299935,0.014691791759821146,-0.042841473323648196,0.07935621408680228
UCI,T1,primary,logreg,age,primary,False,313,269,young,older,-0.4074610734349205,-0.3082208588957055,-0.44163147292680427,-0.18149887399669276,-0.1078959885841129,-0.18188594531118815,-0.04451180688387039
UCI,T1,primary,logreg,disability,underpowered,False,7,719,Y,N,0.251539837075303,0.2846975088967971,0.23319562156274076,0.3408620239958268,0.18378995433789955,-0.08565476190476191,0.7370647535407261
UCI,T1,primary,logreg,debtor,robustness,False,99,627,Y,N,0.14141414141414138,-0.1808176100628931,-0.3029082910862527,-0.05881540312310338,0.00660419455600178,-0.07805463168268047,0.12015840916750926
UCI,T1,primary,logreg,fin_vulnerable,robustness,False,152,574,Y,N,0.29962864478268847,-0.056380875120417784,-0.162971198476938,0.0482945019327888,-0.003610391649007144,-0.07692786069651741,0.0977057215711424
UCI,T1,primary,rf,scholarship,primary,False,199,527,Y,N,-0.3188523261468634,-0.2260044642857143,-0.42741525936708896,-0.0389497448750225,-0.06670119332772276,-0.11373130059550995,-0.023294331375657628
UCI,T1,primary,rf,gender,primary,False,251,475,M,F,0.3025120570350178,0.1848756218905473,0.08100201676065161,0.28215694269134467,0.024592781858831042,-0.03446779119710915,0.08933541215612051
UCI,T1,primary,rf,age,primary,False,313,269,young,older,-0.3941589367792202,-0.2948875255623722,-0.42262626761873756,-0.16715206813629416,-0.09005866497542413,-0.17268952527227707,-0.025660019042139288
UCI,T1,primary,rf,disability,underpowered,False,7,719,Y,N,0.24180409298629046,0.2633451957295374,0.21105969292581434,0.3153933049918451,0.1815068493150685,-0.08654972077103225,0.7523158199450002
UCI,T1,primary,rf,debtor,robustness,False,99,627,Y,N,0.14194577352472088,-0.19051362683438156,-0.3140603636860815,-0.06956921865937497,0.004194556001784908,-0.07751371951219511,0.11711311451713856
UCI,T1,primary,rf,fin_vulnerable,robustness,False,152,574,Y,N,0.31239684577296906,-0.0643918268011966,-0.1638236576052567,0.04037565516536459,0.028647672867121887,-0.0686381074168798,0.14369100344685068
UCI,T1,primary,hgb,scholarship,primary,False,199,527,Y,N,-0.3164970964881333,-0.2176339285714286,-0.39806301765323227,-0.018919648729559924,-0.0617595649640707,-0.1132330564354117,-0.014505782066843312
UCI,T1,primary,hgb,gender,primary,False,251,475,M,F,0.2728119102537219,0.1393034825870647,0.03829783667389037,0.24274477934591407,-0.0018001800180018068,-0.06691267151942924,0.06459095195473581
UCI,T1,primary,hgb,age,primary,False,313,269,young,older,-0.383992303763792,-0.25995910020449897,-0.38265464434810537,-0.1286133497866731,-0.08791818614238148,-0.171320379100015,-0.015290002445368956
UCI,T1,primary,hgb,disability,underpowered,False,7,719,Y,N,0.21816014305583148,0.23487544483985767,0.18586418667738375,0.2841889030581555,0.16095890410958905,-0.11018657394192594,0.7377358035412755
UCI,T1,primary,hgb,debtor,robustness,False,99,627,Y,N,0.20839978734715575,-0.09800838574423487,-0.22479268352548465,0.02088999522193699,0.021954484605087005,-0.08580298621121053,0.15378425443968155
UCI,T1,primary,hgb,fin_vulnerable,robustness,False,152,574,Y,N,0.3493489822116266,-0.012675556456928416,-0.11274842426989955,0.08165930246404793,0.04144101718860371,-0.07237433640311337,0.1779583996497198
UCI,T1,fold,logreg,scholarship,primary,False,233,652,Y,N,-0.2331814950367308,-0.26339285714285715,-0.4546237038746719,-0.06207003627866945,-0.05710766198571077,-0.09532653560546613,-0.015613147562351966
UCI,T1,fold,logreg,gender,primary,False,314,571,M,F,0.18808772184233719,0.13363184079601997,0.027993809186205483,0.2478819879482131,0.013660210972819109,-0.034553225785377444,0.06418905908338879
UCI,T1,fold,logreg,age,primary,False,376,323,young,older,-0.3358639088334102,-0.32179959100204497,-0.4476950528802936,-0.178307568083012,-0.11598837209302326,-0.17966524517776875,-0.05562096207691979
UCI,T1,fold,logreg,disability,underpowered,False,10,875,Y,N,0.04285714285714287,0.03677342823250296,-0.6494169178333005,0.408718279796569,0.062049062049062034,-0.09634551495016612,0.33932890205242777
UCI,T1,fold,logreg,debtor,robustness,False,118,767,Y,N,0.09387222946544979,-0.13731656184486374,-0.26500086308206333,-0.007912385529169216,-0.041206423815119464,-0.09336019998796778,0.025381691656684253
UCI,T1,fold,logreg,fin_vulnerable,robustness,False,175,710,Y,N,0.21307847082494968,-0.04700096334229076,-0.16831775798814877,0.06715165559021877,-0.04888618051323719,-0.09826095657394436,0.016547181372549014
UCI,T1,fold,rf,scholarship,primary,False,233,652,Y,N,-0.23749967087074436,-0.1796875,-0.3853427427667059,0.02969893830780924,-0.0833949248583395,-0.13324042132790026,-0.03428363852259689
UCI,T1,fold,rf,gender,primary,False,314,571,M,F,0.23188171383314557,0.19363184079601992,0.08389701524095014,0.3000719680352953,0.05860356086398394,-0.005227034261129694,0.12694830266860316
UCI,T1,fold,rf,age,primary,False,376,323,young,older,-0.3809531651406364,-0.36580777096114525,-0.4944484645379919,-0.2263232600732602,-0.18062707641196013,-0.2536240823969313,-0.11112207440256223
UCI,T1,fold,rf,disability,underpowered,False,10,875,Y,N,0.10171428571428576,0.3416370106761566,0.2899685008087631,0.397883468695384,0.014911014911014903,-0.14634561848173847,0.2900678138929381
UCI,T1,fold,rf,debtor,robustness,False,118,767,Y,N,0.10430247718383312,-0.12395178197064993,-0.241752876441046,-0.0027936587416603014,-0.021034077555816696,-0.10947807027457362,0.08483074698114962
UCI,T1,fold,rf,fin_vulnerable,robustness,False,175,710,Y,N,0.23219315895372233,-0.0014196623231759187,-0.11293017406178708,0.09694576526788394,-0.03903446408016792,-0.11523466341954845,0.05337897824600582
UCI,T1,fold,hgb,scholarship,primary,False,233,652,Y,N,-0.20588351457384346,-0.22433035714285715,-0.4265838879144903,-0.03980224088937783,-0.039603350578960334,-0.07741669828504505,0.0014165947328742365
UCI,T1,fold,hgb,gender,primary,False,314,571,M,F,0.1977980300512008,0.13761194029850754,0.02644969306469975,0.2559509461952101,0.03958531004074342,-0.013493827678459946,0.09596221599036338
UCI,T1,fold,hgb,age,primary,False,376,323,young,older,-0.3416606284171003,-0.38339468302658486,-0.5109773613432004,-0.2337603978921691,-0.1101328903654485,-0.16978874309033634,-0.05390320898734718
UCI,T1,fold,hgb,disability,underpowered,False,10,875,Y,N,0.05885714285714286,0.0723606168446026,-0.6192086087103881,0.4466266394956029,0.06878306878306878,-0.09198414406658056,0.33991741237866024
UCI,T1,fold,hgb,debtor,robustness,False,118,767,Y,N,0.09256844850065188,-0.12735849056603776,-0.2562752208067783,0.0001688300663519216,-0.03399921660791226,-0.0868813598519889,0.042690544437894246
UCI,T1,fold,hgb,fin_vulnerable,robustness,False,175,710,Y,N,0.2114285714285714,-0.043248998631039925,-0.15264155987601957,0.06946209714053804,-0.021226894170221416,-0.07934089422807727,0.05785699763776477
UCI,T2,primary,logreg,scholarship,primary,True,199,527,Y,N,-0.32833999218101895,-0.1378348214285714,-0.3190778045405918,0.045462030075187884,-0.05688267408989879,-0.09025296651599055,-0.02703223289794885
UCI,T2,primary,logreg,gender,primary,True,251,475,M,F,0.3224323757601174,0.16358208955223885,0.07024774021419493,0.258406432049156,0.024215324758282274,-0.02376545792395678,0.0806992818588339
UCI,T2,primary,logreg,age,primary,True,313,269,young,older,-0.4042068007173652,-0.21570552147239264,-0.33244058483352223,-0.10363994530442779,-0.07753289995243381,-0.13916906099112383,-0.02482619625125324
UCI,T2,primary,logreg,disability,underpowered,True,7,719,Y,N,0.09060202662427974,0.19928825622775803,0.15408050730631376,0.2437275985663082,-0.0410958904109589,-0.06150341685649203,-0.023151574085328794
UCI,T2,primary,logreg,debtor,robustness,True,99,627,Y,N,0.2743221690590112,-0.033542976939203384,-0.15546162324960414,0.07728681873534093,-0.0039268183846497134,-0.05569684758723482,0.07994651908939808
UCI,T2,primary,logreg,fin_vulnerable,robustness,True,152,574,Y,N,0.4035393361452412,0.026770775237032973,-0.06095267308736775,0.12191991118650515,-0.00910446589749627,-0.05637601170689406,0.06827827640654863
UCI,T2,primary,rf,scholarship,primary,True,199,527,Y,N,-0.3069045416837508,-0.0825892857142857,-0.2571482151353841,0.0932593406593405,-0.04734468397315552,-0.08208955223880597,-0.017261819377204002
UCI,T2,primary,rf,gender,primary,True,251,475,M,F,0.30649612078003774,0.12278606965174133,0.02813847489241244,0.216050246050246,0.03704886617694028,-0.013399768752444854,0.08932791816718885
UCI,T2,primary,rf,age,primary,True,313,269,young,older,-0.3675546634678195,-0.19942740286298566,-0.3161067665841176,-0.07671431903121055,-0.04605993340732519,-0.10483809700648228,0.0053488578276713675
UCI,T2,primary,rf,disability,underpowered,True,7,719,Y,N,0.24041327240214583,0.21352313167259784,0.16609810145535128,0.25879394432026015,0.21118721461187215,-0.05090086852965937,0.7869518019973955
UCI,T2,primary,rf,debtor,robustness,True,99,627,Y,N,0.28070175438596495,-0.03328092243186587,-0.1548771636227623,0.08216293997820832,0.03551985720660419,-0.04800962080691741,0.14487936353277828
UCI,T2,primary,rf,fin_vulnerable,robustness,True,152,574,Y,N,0.4105079772602238,0.03691122040257566,-0.05450939939233487,0.13011352854924962,0.025586688642963658,-0.048201544040238624,0.12533906424005312
UCI,T2,primary,hgb,scholarship,primary,True,199,527,Y,N,-0.2935169204657061,-0.1702008928571429,-0.35528738147742095,0.023627232922944746,-0.010444314969465483,-0.034830184435447595,0.011997716419621902
UCI,T2,primary,hgb,gender,primary,True,251,475,M,F,0.29567624239882573,0.1542288557213931,0.048931976449036324,0.25814261901336655,-0.010626869138526755,-0.03333443126921388,0.017572093076996063
UCI,T2,primary,hgb,age,primary,True,313,269,young,older,-0.36337399194745656,-0.22102249488752557,-0.3495296228539262,-0.09981335045240973,-0.019898525447915018,-0.05761533803475116,0.011365565633025633
UCI,T2,primary,hgb,disability,underpowered,True,7,719,Y,N,0.12120007947546191,-0.09489916963226575,-0.7689858784595507,0.27017576220717276,0.23401826484018265,-0.025131475358211305,0.8213610266801761
UCI,T2,primary,hgb,debtor,robustness,True,99,627,Y,N,0.2509303561935141,-0.06996855345911945,-0.19793222471347915,0.05366013289257522,0.020169567157518963,-0.026570985571515795,0.11354246730410593
UCI,T2,primary,hgb,fin_vulnerable,robustness,True,152,574,Y,N,0.4002613240418118,0.028393246463519706,-0.07243276310186336,0.1294485583300347,0.01522643434581273,-0.026637622759112304,0.0925983818544018
UCI,T2,fold,logreg,scholarship,primary,True,233,652,Y,N,-0.2307196082045341,-0.2036830357142857,-0.3958531891495601,0.005079347607130928,-0.048669623059866954,-0.07838407686523527,-0.01636190540833683
UCI,T2,fold,logreg,gender,primary,True,314,571,M,F,0.21085479714881705,0.11044776119402977,-0.0004427122207293796,0.2172090557733615,0.04646425182787298,0.003916033891336826,0.09522759551645428
UCI,T2,fold,logreg,age,primary,True,376,323,young,older,-0.30403135498320266,-0.28793456032719833,-0.4177122303299764,-0.14344531333967955,-0.05134966777408638,-0.101253538115413,-0.0057326456845084575
UCI,T2,fold,logreg,disability,underpowered,True,10,875,Y,N,0.05771428571428569,0.018979833926453082,-0.6679382111479187,0.38831426305653105,0.09235209235209235,-0.06228956228956229,0.41384993338169646
UCI,T2,fold,logreg,debtor,robustness,True,118,767,Y,N,0.14993481095176012,-0.10508385744234805,-0.2372713196461074,0.022744599330136055,0.014766940853897376,-0.05160834675545426,0.09044673779853163
UCI,T2,fold,logreg,fin_vulnerable,robustness,True,175,710,Y,N,0.25987927565392355,-0.03447751356284534,-0.14239504155265026,0.07941021677322693,0.0043672557383709065,-0.05292212666301925,0.07327649789113998
UCI,T2,fold,rf,scholarship,primary,True,233,652,Y,N,-0.223064061718318,-0.0926339285714286,-0.30189271144459817,0.11374305252833479,-0.06416605075141661,-0.09876842848378165,-0.02719358813058695
UCI,T2,fold,rf,gender,primary,True,314,571,M,F,0.25050475754905355,0.1661691542288557,0.05522315919374746,0.2769028392998828,0.08609142155494783,0.03076541890127933,0.1479427953242265
UCI,T2,fold,rf,age,primary,True,376,323,young,older,-0.31153250773993807,-0.27566462167689165,-0.41445493747738327,-0.1364665821982895,-0.08513289036544851,-0.13832682716140768,-0.027664835820636405
UCI,T2,fold,rf,disability,underpowered,True,10,875,Y,N,0.041714285714285704,0.011862396204033177,-0.6755530172173622,0.38988530088973533,0.07215007215007214,-0.0877820344899558,0.3419293873732356
UCI,T2,fold,rf,debtor,robustness,True,118,767,Y,N,0.1121251629726206,-0.15172955974842772,-0.2923034966540132,-0.020027246739324656,-0.006854680767724247,-0.07510689134808853,0.07975537059839383
UCI,T2,fold,rf,fin_vulnerable,robustness,True,175,710,Y,N,0.23303822937625757,-0.061146884348222796,-0.17628699637083786,0.04356423720998608,-0.01757058704042251,-0.07104800936768149,0.0594031647901082
UCI,T2,fold,hgb,scholarship,primary,True,233,652,Y,N,-0.19974854524869007,-0.1010044642857143,-0.3035293511860162,0.10511337868480729,-0.036388272973638836,-0.07017172371391324,-0.0030864985567046112
UCI,T2,fold,hgb,gender,primary,True,314,571,M,F,0.20480328399165615,0.09870646766169155,-0.016884722622621844,0.2128290829518501,0.052561812803482724,0.0062668116088583255,0.10727744116810918
UCI,T2,fold,hgb,age,primary,True,376,323,young,older,-0.28148672682958964,-0.2265848670756646,-0.352080495620241,-0.08529376328844814,-0.06424418604651162,-0.11160513988818789,-0.021225598131033408
UCI,T2,fold,hgb,disability,underpowered,True,10,875,Y,N,0.1645714285714286,0.04033214709371291,-0.6507080351151868,0.4157461984543755,0.2352092352092352,-0.054701492537313434,0.5664197808550218
UCI,T2,fold,hgb,debtor,robustness,True,118,767,Y,N,0.12711864406779663,-0.16981132075471694,-0.30220820416181765,-0.03734452596574579,0.06004700352526439,-0.019641374435701516,0.16692988479090948
UCI,T2,fold,hgb,fin_vulnerable,robustness,True,175,710,Y,N,0.25267605633802814,-0.055265426152208086,-0.16407858317245438,0.05889872798283386,0.043232446340307394,-0.02881946860032644,0.12737868804518795
