cutoff_week,model,attribute,group_A,group_B,n_A,n_B,flag_A,flag_B,dp_gap,dp_lo,dp_hi,tpr_A,tpr_B,eo_gap,eo_lo,eo_hi,fpr_A,fpr_B,fpr_gap,fpr_lo,fpr_hi
5,logreg,imd,deprived,affluent,2066,1647,0.5648596321393998,0.4201578627808136,0.14470176935858625,0.11513501623121866,0.1746917229307768,0.7521912350597609,0.688715953307393,0.06347528175236794,0.025510312251484483,0.10498513320071445,0.2749691738594328,0.18378995433789955,0.09117921952153327,0.05255360536686425,0.1345170115499262
5,logreg,disability,disabled,not_disabled,655,5864,0.5618320610687023,0.47783083219645295,0.08400122887224937,0.040598020786686576,0.1222112931276881,0.7468982630272953,0.7163540638367885,0.030544199190506882,-0.015024240492010899,0.07303296949046491,0.26587301587301587,0.22123893805309736,0.044634077819918516,-0.010744586400307498,0.10107929425767329
5,logreg,age,age_0_35,age_55plus,4612,53,0.5073720728534259,0.3584905660377358,0.14888150681569007,0.0024643464956061695,0.26599191608437384,0.7271671826625387,0.7,0.027167182662538703,-0.1597635935516194,0.21852157628026952,0.22731755424063116,0.15151515151515152,0.07580240272547964,-0.06033575367756642,0.183884249597978
5,rf,imd,deprived,affluent,2066,1647,0.5208131655372701,0.39344262295081966,0.12737054258645042,0.09732492001944339,0.15770040985075975,0.7402390438247012,0.688715953307393,0.05152309051730819,0.013809995496362568,0.09124743918348911,0.1812577065351418,0.13356164383561644,0.047696062699525366,0.012258011993605366,0.08366041219691463
5,rf,disability,disabled,not_disabled,655,5864,0.5328244274809161,0.44201909959072305,0.09080532789019302,0.049342345063161874,0.129493239900857,0.7245657568238213,0.705166173083251,0.01939958374057027,-0.02563892127925104,0.06429752109866275,0.2261904761904762,0.15893805309734513,0.06725242309313106,0.01402888522781617,0.12216908579054375
5,rf,age,age_0_35,age_55plus,4612,53,0.47961838681699914,0.32075471698113206,0.15886366983586708,0.024831346446513622,0.2725157096336055,0.7174922600619195,0.75,-0.03250773993808054,-0.2142396191836686,0.158589508452213,0.1765285996055227,0.06060606060606061,0.11592253899946209,0.02513296584745091,0.18170624101084434
5,hgb,imd,deprived,affluent,2066,1647,0.5295256534365924,0.40862173649058897,0.12090391694600344,0.08768958463009695,0.15364911473293869,0.747410358565737,0.7068741893644618,0.04053616920127523,0.0010963154845869936,0.08120760212531287,0.19235511713933415,0.1461187214611872,0.04623639567814694,0.011494857522463476,0.08204334500764833
5,hgb,disability,disabled,not_disabled,655,5864,0.5419847328244275,0.4532742155525239,0.0887105172719036,0.046660695874946645,0.12717190152359337,0.7444168734491315,0.7189865087199737,0.02543036472915783,-0.0214624656009127,0.06875843543802443,0.21825396825396826,0.16743362831858408,0.05082033993538418,-0.0019175772852198882,0.10293640723321482
5,hgb,age,age_0_35,age_55plus,4612,53,0.48742411101474414,0.33962264150943394,0.1478014695053102,0.0133246534880296,0.2590846888347052,0.7275541795665634,0.7,0.027554179566563475,-0.16044209837982737,0.21752532049360532,0.1814595660749507,0.12121212121212122,0.060247444862829486,-0.05606230983480759,0.1563768798552765
10,logreg,imd,deprived,affluent,2066,1647,0.5648596321393998,0.40619307832422585,0.15866655381517397,0.12723152806211066,0.190552794514477,0.8159362549800797,0.748378728923476,0.0675575260566037,0.0313606368349297,0.10499532926396858,0.17632552404438964,0.1050228310502283,0.07130269299416134,0.040572960044135804,0.10721988170029263
