cutoff_week,model,positive_rate,auroc,recall,f1,brier_cal,ece_uncal,ece_cal
5,logreg,0.21539248274098696,0.6820261194800901,0.0,0.0,0.15999580530594887,0.2558853725233975,0.006308655313865835
5,rf,0.21539248274098696,0.6822705074425365,0.002807017543859649,0.005571030640668524,0.15985336287842042,0.02804118143583786,0.008828895130137918
5,hgb,0.21539248274098696,0.7065488810365136,0.03298245614035088,0.06163934426229508,0.15627735905110943,0.23736423406067486,0.008084141089734988
10,logreg,0.21539248274098696,0.7096949283298549,0.0014035087719298245,0.0027529249827942187,0.1563972059286928,0.2498849123419852,0.013070046260338225
10,rf,0.21539248274098696,0.7209493797312283,0.0035087719298245615,0.006963788300835654,0.15444757675470477,0.02972949639633828,0.013386789721663935
10,hgb,0.21539248274098696,0.744185522699564,0.06807017543859649,0.12012383900928793,0.15010029650559828,0.21776070407136494,0.007935611983467069
15,logreg,0.21539248274098696,0.7311606361801638,0.002105263157894737,0.004140786749482402,0.15290663138260496,0.2415307114577195,0.009376489731763155
15,rf,0.21539248274098696,0.745029859690451,0.009824561403508772,0.019138755980861243,0.149710495167017,0.023960954780185457,0.016295484705935122
15,hgb,0.21539248274098696,0.7693997065691319,0.11789473684210526,0.1928817451205511,0.14474964171895768,0.20657269030919473,0.006472477376230276
25,logreg,0.21539248274098696,0.7704272656513683,0.002105263157894737,0.00414651002073255,0.1450989305431357,0.22635867404534096,0.012736456912689762
25,rf,0.21539248274098696,0.790454060160216,0.30526315789473685,0.38309114927344784,0.1398169864460193,0.021189893875721722,0.013762955286724908
25,hgb,0.21539248274098696,0.8125500244525723,0.2729824561403509,0.37242699856390615,0.13447802691950075,0.17439957673841364,0.01279274188122441
