dataset,axis,unit,raw_gap,adj_gap,adj_lo,adj_hi
UCI,scholarship,T0,0.0095,-0.0117,-0.0344,0.0153
UCI,scholarship,T1,-0.0224,-0.0314,-0.0743,0.0092
