dataset,snapshot,model,axis,del_aopc,raw_gap,adj_gap,adj_lo,adj_hi,n_A,n_B
UCI,T0,logreg,scholarship,0.1736828821240396,-0.020894617172880076,-0.012863914980708714,-0.027800315704414342,0.005152594116371909,199,527
UCI,T0,logreg,age,0.1736828821240396,-0.04710449150370147,0.02076746878544707,0.0015435726880942862,0.03758981124314958,313,269
UCI,T0,rf,scholarship,0.13397535965717786,0.00893802239110375,-0.011530398146558422,-0.02487259527545917,0.0051416325100612295,199,527
UCI,T0,rf,age,0.13397535965717786,0.0026046982407660346,-0.011496613947495994,-0.03246222896565583,0.004891802238443315,313,269
UCI,T0,hgb,scholarship,0.22836399429826126,0.009455094937990044,-0.011698331127680603,-0.034417793066752723,0.015341802455757673,199,527
UCI,T0,hgb,age,0.22836399429826126,-0.00040208463293606167,-0.029461685517229674,-0.06135027165337126,0.0017329201138331556,313,269
UCI,T1,logreg,scholarship,0.32075210099573825,-0.020197422737437187,-0.015448995695100887,-0.03711146686083254,0.007865188330587953,199,527
UCI,T1,logreg,age,0.32075210099573825,-0.061235305998662004,-0.03179569813221921,-0.05364192553162966,-0.008029226531234635,313,269
UCI,T1,rf,scholarship,0.21451943679216406,-0.012806389103434096,-0.016582242117230445,-0.03206361351175387,0.000999224643522602,199,527
UCI,T1,rf,age,0.21451943679216406,-0.03906340025311009,-0.030234771732958552,-0.04822794712976282,-0.015171927368441722,313,269
UCI,T1,hgb,scholarship,0.3533990582214304,-0.022438087047840227,-0.03137335251112476,-0.07428682148691929,0.009162468990557757,199,527
UCI,T1,hgb,age,0.3533990582214304,-0.0598860010132079,-0.055084651740337325,-0.0912983853091361,-0.02085483650688747,313,269
