cutoff_week,model,del_aopc_predclass,raw_gap_imd,adj_gap_imd,adj_lo,adj_hi
5,logreg,0.21663699553396928,0.007875844074573451,0.003302801957626046,-0.005926397385399884,0.01615614998525497
5,rf,0.18080888790095956,0.00271307778926666,-0.006109519002908366,-0.019411228080231196,0.008565653572473849
5,hgb,0.18244255715315247,0.0040937356277570836,-0.01079657294683174,-0.02198619303161732,0.0076736777496001895
10,logreg,0.27672605456024596,0.003380553985288526,0.004250489435686658,-0.008423880019814596,0.02205400387476266
10,rf,0.21983117687119427,0.004996522329427239,-0.004572860271322268,-0.01859066020591044,0.011629795439798297
10,hgb,0.2527013906149455,0.020327915958401027,-0.010832200053531511,-0.02907151588804858,0.005949836375881809
15,logreg,0.3012619905966489,-0.014398791930726018,0.010123228859762395,-0.008627777935361656,0.02412296126313651
15,rf,0.2536194444444444,0.02849884726812746,-0.01064052325443587,-0.02310003335344804,0.007675152931132958
15,hgb,0.28667640868671934,0.04962705153636593,-0.012096609279723133,-0.02902318846781694,0.012196675141100463
25,logreg,0.29733750573496864,-0.02915869449180003,-0.003803658764152665,-0.024903165781136345,0.015374397022867716
25,rf,0.27476064814814816,0.018350531573539275,-0.007359266364024851,-0.019665288425479602,0.01290599947041458
25,hgb,0.33241175115518334,0.05947782575910726,8.509949399523162e-05,-0.019794186139301423,0.018073710175055872
