cutoff_week,model,auroc_main,auroc_failonly,ece_main,ece_failonly,fpr_gap_imd_main,fpr_gap_imd_failonly,fpr_failonly_lo,fpr_failonly_hi
5,logreg,0.8296501550273561,0.6820261194800901,0.0220243323160502,0.006308655313865835,0.0911792195215332,0.00043266598774407364,-0.002494382331022186,0.0032832102192538633
5,rf,0.8463116065910091,0.6822705074425365,0.0252609767320564,0.008828895130137918,0.0476960626995253,-0.0023772101775598425,-0.00606994067382291,0.0005391465384543322
5,hgb,0.8527395908652545,0.7065488810365136,0.0187461883836773,0.008084141089734988,0.0462363956781469,0.007351397383597152,0.00012218302366228626,0.014645288448862388
10,logreg,0.893740403439362,0.7096949283298549,0.014245039844657,0.013070046260338225,0.0713026929941613,0.0031356020336282524,-0.002759844856072127,0.0094156350009002
10,rf,0.901984499341613,0.7209493797312283,0.0165487994108194,0.013386789721663935,0.0375093604490763,0.0,0.0,0.0
10,hgb,0.9049937428205784,0.744185522699564,0.0190762629193246,0.007935611983467069,0.0621224149677099,0.011243429069267764,0.001938525799969701,0.020560329613467963
15,logreg,0.918245565069473,0.7311606361801638,0.009624217506887,0.009376489731763155,0.053717717007584,0.004107874128536137,-0.0003984822934904573,0.009781866431116707
15,rf,0.929687696215497,0.745029859690451,0.0080183803656179,0.016295484705935122,0.0479184613392339,0.0016217616275305074,-0.002151949406468222,0.005450418649794241
15,hgb,0.9318400828474348,0.7693997065691319,0.0103082703394676,0.006472477376230276,0.0318846454853076,0.013082995343689847,0.00015235581399132087,0.024543791456613163
25,logreg,0.9600347803623328,0.7704272656513683,0.0098702294411049,0.012736456912689762,0.0211053493910781,0.005512812211188095,0.0009098643273477034,0.010971785523163836
25,rf,0.968516388484826,0.790454060160216,0.005580064275338,0.013762955286724908,0.0272227195693911,0.025847132533146522,0.004246538126209467,0.04574046551755015
25,hgb,0.9688899119764888,0.8125500244525723,0.0094702547257525,0.01279274188122441,0.0277716782370262,0.023356114522075783,0.005646657271950011,0.03983217167326125
