cutoff_week,order,step,deletion_conf,insertion_conf
5,shap,0,0.7257497224112304,0.35964368605145314
5,shap,1,0.5362343856531665,0.6032086655197559
5,shap,2,0.37403829771693237,0.7237751922450201
5,shap,3,0.35964368605145314,0.7257497224112304
5,random,0,0.7257497224112304,0.35964368605145314
5,random,1,0.636499053212415,0.4874522478441736
5,random,2,0.5147882412844057,0.6038787067568427
5,random,3,0.35964368605145314,0.7257497224112304
10,shap,0,0.7656601417343,0.5298667246124874
10,shap,1,0.6385316316409272,0.6938113980013815
10,shap,2,0.532525259016346,0.7688690724466305
10,shap,3,0.5298667246124874,0.7656601417343
10,random,0,0.7656601417343,0.5298667246124874
10,random,1,0.695957954460689,0.6275101635689603
10,random,2,0.6232862042258953,0.6991949721487224
10,random,3,0.5298667246124874,0.7656601417343
15,shap,0,0.8166389276260727,0.6130630487423633
15,shap,1,0.712974668647,0.7620770725090722
15,shap,2,0.6197677216060015,0.8120799254894244
15,shap,3,0.6130630487423633,0.8166389276260727
15,random,0,0.8166389276260727,0.6130630487423633
15,random,1,0.7646558546253758,0.6969555223372654
15,random,2,0.6968447977388026,0.7595298266312248
15,random,3,0.6130630487423633,0.8166389276260727
25,shap,0,0.8694411718288889,0.771603496316653
25,shap,1,0.7917257181673995,0.8127006988968559
25,shap,2,0.7419241130054465,0.8714283303583442
25,shap,3,0.771603496316653,0.8694411718288889
25,random,0,0.8694411718288889,0.771603496316653
25,random,1,0.820474573702776,0.7897493310115372
25,random,2,0.7824717456194831,0.8247762019071273
25,random,3,0.771603496316653,0.8694411718288889
