cutoff_week,axis,gap,lo,hi,p_boot,n_boot_valid
5,imd,0.020925666199158477,-0.015856697106789518,0.057458102784081505,0.27417258274172585,10000
5,disability,-0.014636174636174643,-0.0640424680822615,0.03581187260587408,0.5603439656034397,10000
10,imd,0.04308606006275213,0.010720597012070182,0.0766821613482385,0.011398860113988602,10000
10,disability,0.02935440546060014,-0.017370951766113682,0.07941407058722193,0.24117588241175883,10000
15,imd,0.051042133572389056,0.02450445751543869,0.07821817817276584,0.00039996000399960006,10000
15,disability,0.04526547139910063,0.003062155839076,0.09157407929531597,0.035596440355964404,10000
25,imd,0.0185342895562528,-2.6396680466215587e-05,0.03744090431595767,0.050794920507949204,10000
25,disability,0.031119053676689216,-8.101444962268989e-05,0.06501103245969474,0.050794920507949204,10000
