cutoff_week,n_eval_rows,n_donors,n_groups,deletion_diff_from_curves,insertion_diff_from_curves
5,300,5,3,0.024607932082098622,0.02454464192184902
10,300,5,3,0.04957091742780547,0.05121003223854611
15,300,5,3,0.047869882725606515,0.04635113389816522
25,300,5,3,0.03786991851990481,0.03420377845848869
