cutoff_week,model,insertion_auc_shap,insertion_auc_random,delta
5,hgb,0.6466873556201167,0.5855475507427043,0.0611398048774125
10,hgb,0.6852882982510089,0.6447288936272242,0.04055940462378467
15,hgb,0.6912963214664685,0.617083188224527,0.07421313324194147
25,hgb,0.7974105742539283,0.7514386367901768,0.0459719374637515
