manifest_seed,cutoff_week,gap,lo,hi,p_boot,n_boot_valid,auroc,ece
7,15,0.036644616437127395,0.009328530154033834,0.06658561752905728,0.011988011988011988,1000,0.8770900721840452,0.010449260044302485
11,15,0.03338295683591626,0.004589501476662321,0.0626265441659817,0.01998001998001998,1000,0.8706752941982963,0.014786625914184559
23,15,0.05157207391627171,0.01991601938484629,0.08353873955374802,0.003996003996003996,1000,0.8627604358878708,0.021353230529260504
31,15,0.07185993600710766,0.03960471384119602,0.10326183960816997,0.001998001998001998,1000,0.8763986129139785,0.01391629770044726
47,15,0.03272113028395915,0.004037959979934425,0.06150498007264618,0.023976023976023976,1000,0.8661141051705715,0.02134386369819331
