cutoff_week,step,deletion_shap,deletion_random,insertion_shap,insertion_random
5,0,0.7241214135502464,0.7241214135502464,0.5384887448268383,0.5384887448268383
5,1,0.5874075040107237,0.6313576698136936,0.6336662520076155,0.592323299973261
5,2,0.5365270520648495,0.5664006825081755,0.7062751821729721,0.6739842084417795
5,3,0.5384887448268383,0.5384887448268383,0.7241214135502464,0.7241214135502464
10,0,0.7839543673659987,0.7839543673659987,0.5220629675514544,0.5220629675514544
10,1,0.5939985918444564,0.6965148104411195,0.6899248348410738,0.5883754903252619
10,2,0.5261510113925482,0.5723475450793014,0.777649432040581,0.7255686798407546
10,3,0.5220629675514544,0.5220629675514544,0.7839543673659987,0.7839543673659987
15,0,0.8178877132277129,0.8178877132277129,0.5198729083676815,0.5198729083676815
15,1,0.6238178173772448,0.7107870779735599,0.7033972186722057,0.6210223918508906
15,2,0.5215259289071348,0.5781663164876393,0.8104040143474578,0.7537254394742773
15,3,0.5198729083676815,0.5198729083676815,0.8178877132277129,0.8178877132277129
25,0,0.8757674503891956,0.8757674503891956,0.5355761349074764,0.5355761349074764
25,1,0.6803511810037025,0.7209272661331831,0.7347894304403713,0.6916978923363697
25,2,0.5355340936050983,0.6085677640353321,0.8749375527629668,0.8154177554915023
25,3,0.5355761349074764,0.5355761349074764,0.8757674503891956,0.8757674503891956
