cutoff_week,model,aopc_shap,aopc_random,delta,lo,hi,p
5,logreg,0.14598047995002641,0.12301735321060661,0.022963126739419772,0.01679648586791823,0.03029566740691348,0.003992015968063872
5,rf,0.18996149411961236,0.1738535900903484,0.01610790402926394,0.011624636673669243,0.021347663332223776,0.003992015968063872
5,hgb,0.16998031324944254,0.1453723811673439,0.024607932082098643,0.01780239891402949,0.031170224595469725,0.003992015968063872
10,logreg,0.23063066376053304,0.17591566862406008,0.05471499513647301,0.044669855908248665,0.06571449008123806,0.003992015968063872
10,rf,0.2434854995543499,0.2011837014364387,0.042301798117911196,0.034848681174286654,0.05108919797942397,0.003992015968063872
10,hgb,0.2365501771031791,0.18697925967537368,0.049570917427805415,0.04009875019370679,0.060095690793912734,0.003992015968063872
15,logreg,0.26176578866830835,0.19232495946846573,0.06944082919984257,0.058293217223500296,0.08128279010517182,0.003992015968063872
15,rf,0.24652823662759496,0.2156591546849203,0.030869081942674695,0.022344986896635423,0.03912286586681182,0.003992015968063872
15,hgb,0.2628154950103593,0.21494561228475276,0.04786988272560653,0.037488237261072116,0.057482507198570815,0.003992015968063872
25,logreg,0.27660187995324775,0.20033168629701165,0.07627019365623612,0.06272283400477455,0.0918770372285652,0.003992015968063872
25,rf,0.29710510032209725,0.270458136920833,0.026646963401264226,0.018894948219212313,0.034757894090629154,0.003992015968063872
25,hgb,0.29194698055043644,0.2540770620305317,0.03786991851990476,0.028371145345331524,0.048519595032206625,0.003992015968063872
