cutoff_week,pair,spearman,spearman_lo,spearman_hi,kendall,n_eval_rows,n_eval_students
5,logreg-rf,0.41025641025641024,0.37545787545787546,0.462469474969475,0.28774928774928776,300,298
5,logreg-hgb,0.34249084249084244,0.31897130647130645,0.39839743589743587,0.24786324786324793,300,298
5,rf-hgb,0.6477411477411477,0.6107905982905983,0.7051587301587301,0.49287749287749294,300,298
10,logreg-rf,0.5714285714285714,0.5390720390720389,0.6089896214896214,0.4131054131054132,300,299
10,logreg-hgb,0.5439560439560439,0.518605006105006,0.5870115995115994,0.4131054131054132,300,299
10,rf-hgb,0.7496947496947497,0.7277167277167277,0.7875763125763124,0.5783475783475784,300,299
15,logreg-rf,0.7832722832722833,0.7579212454212454,0.8021978021978021,0.6068376068376069,300,299
15,logreg-hgb,0.6581196581196581,0.6227106227106226,0.7002442002442002,0.5156695156695158,300,299
15,rf-hgb,0.8064713064713065,0.7689102564102563,0.8388278388278387,0.623931623931624,300,299
25,logreg-rf,0.7789987789987789,0.747542735042735,0.7973137973137973,0.5840455840455842,300,300
25,logreg-hgb,0.6017401993477872,0.5641734152129597,0.6494123110312764,0.4907280314125135,300,300
25,rf-hgb,0.8310181748476291,0.8126850957147856,0.8798809444598125,0.7132674875181882,300,300
