cutoff_week,kind,group,n,mean_distance,median_distance,reachable_frac,raw_gap,raw_lo,raw_hi,raw_p,std_gap,std_lo,std_hi,std_p,coherence_violations_total
5,group_summary,affluent,150.0,0.14065424134554763,0.13551701705240893,0.07333333333333333,,,,,,,,,
5,group_summary,deprived,150.0,0.16357044144794317,0.1272453033790823,0.13333333333333333,,,,,,,,,
5,gap,deprived-affluent,,,,,0.022916200102395534,-0.005787241143835468,0.05431115795626831,0.12375249500998003,0.018299272553668422,-0.009518116684804378,0.04774777297297062,0.2275449101796407,86.0
15,group_summary,affluent,150.0,0.22754279861465296,0.22468615024050476,0.08666666666666667,,,,,,,,,
15,group_summary,deprived,150.0,0.2535902035853075,0.26425863982051534,0.12,,,,,,,,,
15,gap,deprived-affluent,,,,,0.026047404970654525,0.004505766131315197,0.04715641901829285,0.023952095808383235,0.005809240810356664,-0.011300882094581945,0.025890447798919684,0.5109780439121756,23.0
