family_member,gap,p,p_holm,p_bh,sig_raw,sig_holm,sig_bh
fpr_imd_wk5,0.0209256661991584,0.2517482517482518,1.0,0.36632617118703753,False,False,False
fpr_disability_wk5,-0.0146361746361746,0.5834165834165834,1.0,0.7000999000999001,False,False,False
fpr_imd_wk10,0.0430860600627521,0.0139860139860139,0.26573426573426406,0.0559440559440556,True,False,False
fpr_disability_wk10,0.0293544054606001,0.2477522477522477,1.0,0.36632617118703753,False,False,False
fpr_imd_wk15,0.051042133572389,0.0019980019980019,0.0479520479520456,0.0119880119880114,True,True,True
fpr_disability_wk15,0.0452654713991006,0.0359640359640359,0.6113886113886102,0.1078921078921077,True,False,False
fpr_imd_wk25,0.0185342895562528,0.0499500499500499,0.7492507492507485,0.11988011988011978,True,False,False
fpr_disability_wk25,0.0311190536766892,0.0419580419580419,0.6713286713286704,0.11188811188811172,True,False,False
fpr_imd_failonly_wk5,0.0306687001756995,0.0099900099900099,0.199800199800198,0.047952047952047515,True,False,True
fpr_imd_failonly_wk10,0.0622529644268774,0.0019980019980019,0.0479520479520456,0.0119880119880114,True,True,True
fpr_imd_failonly_wk15,0.0396707248473159,0.0019980019980019,0.0479520479520456,0.0119880119880114,True,True,True
fpr_imd_failonly_wk25,0.0335992514896341,0.0019980019980019,0.0479520479520456,0.0119880119880114,True,True,True
faith_raw_wk5,-0.0190214443831575,0.4271457085828343,1.0,0.5695276114437791,False,False,False
faith_std_wk5,-0.003083379693233,0.8942115768463074,1.0,0.8942115768463074,False,False,False
faith_raw_wk10,0.0300942394629687,0.2594810379241516,1.0,0.36632617118703753,False,False,False
faith_std_wk10,0.0115650905611806,0.6506986027944112,1.0,0.7436555460507557,False,False,False
faith_raw_wk15,0.0484773064634622,0.1397205588822355,1.0,0.25794564716720403,False,False,False
faith_std_wk15,0.0077140434496614,0.7624750499001997,1.0,0.7956261390262952,False,False,False
faith_raw_wk25,0.0556045157432731,0.0998003992015968,1.0,0.21774632553075668,False,False,False
faith_std_wk25,-0.0190804619990597,0.6986027944111777,1.0,0.7621121393576483,False,False,False
cf_raw_wk5,0.0229162001023955,0.12375249500998,1.0,0.24750499001996,False,False,False
cf_std_wk5,0.0182992725536684,0.2275449101796407,1.0,0.36632617118703753,False,False,False
cf_raw_wk15,0.0260474049706545,0.0239520958083832,0.4311377245508976,0.08212147134302812,True,False,False
cf_std_wk15,0.0058092408103566,0.5109780439121756,1.0,0.6454459502048534,False,False,False
