cutoff_week,model,mean_aopc,raw_gap,raw_lo,raw_hi,raw_p,std_gap,std_lo,std_hi,std_p,n_rows,n_students
5,logreg,0.14598047995002641,-0.001259017962249337,-0.04209564281840987,0.035986273973596446,0.9461077844311377,0.0033869277592003685,-0.033645620712670354,0.030869217706047065,0.9101796407185628,186,185
5,rf,0.18996149411961236,-0.013276485133231486,-0.055979857595269536,0.03900965019866994,0.6147704590818364,0.009997101264554721,-0.039408433496770194,0.04768794574875589,0.93812375249501,186,185
5,hgb,0.16998031324944254,-0.019021444383157504,-0.05743514381485755,0.03171729872443634,0.42714570858283435,-0.0030833796932330177,-0.035289495773983694,0.031871860431076725,0.8942115768463074,186,185
10,logreg,0.23063066376053304,0.028614594610711114,-0.027381051702503115,0.08409275082057488,0.29141716566866266,-0.005193775579511508,-0.052291158550631704,0.03872233536230012,0.6626746506986028,189,188
10,rf,0.2434854995543499,0.0011683016711020455,-0.05155641588113866,0.05772180221649751,0.9540918163672655,-0.012902447125710322,-0.05719239813804551,0.028981273612056744,0.5828343313373253,189,188
10,hgb,0.2365501771031791,0.03009423946296877,-0.020814365628862644,0.08442293724541401,0.25948103792415167,0.011565090561180644,-0.03922008862940147,0.05706938326513444,0.6506986027944112,189,188
15,logreg,0.26176578866830835,0.05242028586830347,-0.015497113718669363,0.11449209262697062,0.1277445109780439,-0.0012043102072512345,-0.04232968742628093,0.057278506846011726,0.6467065868263473,173,173
15,rf,0.24652823662759496,0.08318017755371396,0.018058826666765598,0.15485545319777774,0.015968063872255488,0.0313407209657542,-0.013593939444766324,0.09337765704861022,0.22355289421157684,173,173
15,hgb,0.2628154950103593,0.048477306463462266,-0.012628359769274027,0.11597414000224396,0.13972055888223553,0.007714043449661405,-0.04831706173945682,0.05732773056547486,0.7624750499001997,173,173
25,logreg,0.27660187995324775,0.07552816219769518,0.009643238309116658,0.14402868419159867,0.03592814371257485,0.010149665980097582,-0.043931257597167185,0.06979315515638364,0.7864271457085829,175,175
25,rf,0.29710510032209725,0.05160244979950096,-0.016899907054023423,0.12364288153630917,0.1317365269461078,-0.019238843846535417,-0.08552573657024715,0.04190509008336098,0.5469061876247505,175,175
25,hgb,0.29194698055043644,0.055604515743273186,-0.012145725066857018,0.1269514760195888,0.0998003992015968,-0.019080461999059786,-0.07549941168433875,0.04367504384393276,0.6986027944111777,175,175
