group,n_rows,n_students,ece,tpr,fpr,flag_rate
deprived,1493,1367,0.03252719730040802,0.7154811715481172,0.11082474226804123,0.4012056262558607
affluent,1359,1231,0.02106669381733232,0.5876993166287016,0.059782608695652176,0.23031640912435614
disabled,439,394,0.054591434091626194,0.6713615023474179,0.12389380530973451,0.3895216400911162
not_disabled,4593,4221,0.016612772465916997,0.64947245017585,0.07862833391063388,0.2906596995427825
