cutoff_week,axis,std_gap,std_lo,std_hi,std_p,n_neg
5,imd,0.0,-0.021760738421302765,0.0001994220087414165,1.0,1695
5,disability,-0.008904917740822374,-0.03849914641673117,0.007987317756688005,0.5948103792415169,3111
10,imd,0.0055719436250409584,-0.014390023659042371,0.025139657140964545,0.6467065868263473,1696
10,disability,0.008515971141861582,-0.016195017444089816,0.033199589969425215,0.5508982035928144,3112
15,imd,0.02333002009319824,0.004458566237827252,0.04250688076334805,0.023952095808383235,1696
15,disability,0.014867831569642536,-0.012309507952933495,0.04206030652734282,0.2554890219560878,3113
25,imd,0.010782945243061485,-0.004297982329696323,0.024988566475518826,0.19560878243512975,1696
25,disability,0.00867719455408215,-0.009799189654508529,0.03059532869924312,0.4151696606786427,3113
