cutoff_week,axis,gap,lo,hi,p_boot,n_boot_valid,n_A_neg,n_B_neg
5,imd,0.020925666199158477,-0.015231648005936247,0.05608341550016184,0.2517482517482518,1000,775,920
5,disability,-0.014636174636174643,-0.061882050980594294,0.03478362013210298,0.5834165834165834,1000,225,2886
10,imd,0.04308606006275213,0.00992601386304688,0.07592154948701911,0.013986013986013986,1000,776,920
10,disability,0.02935440546060014,-0.01665972549346897,0.07811423182633646,0.24775224775224775,1000,226,2886
15,imd,0.051042133572389056,0.023399475925602625,0.07864815835609025,0.001998001998001998,1000,776,920
15,disability,0.04526547139910063,0.002778728655044482,0.0908115437481526,0.03596403596403597,1000,226,2887
25,imd,0.0185342895562528,0.00025315902009700065,0.036766920350872104,0.04995004995004995,1000,776,920
25,disability,0.031119053676689216,0.0017832481014822574,0.06567420838025607,0.04195804195804196,1000,226,2887
