cutoff_week,model,positive_rate,auroc_calibrated,ece_calibrated
5,logreg,0.25843769510448417,0.7251898492132867,0.01352878990552148
5,rf,0.25843769510448417,0.7180839868264748,0.01341942476712837
5,hgb,0.25843769510448417,0.732969254303389,0.01599882245003396
10,logreg,0.2701250863325915,0.7927740595142152,0.01332473763242308
10,rf,0.2701250863325915,0.8030917049259115,0.016873890909556585
10,hgb,0.2701250863325915,0.8054086053799145,0.01719658313568533
15,logreg,0.2802005411427662,0.831863672808786,0.01768733692475222
15,rf,0.2802005411427662,0.8423570176110476,0.013552121793118018
15,hgb,0.2802005411427662,0.8487268960413195,0.010916726952926361
25,logreg,0.30117596750053455,0.909087341689455,0.015414711615657222
25,rf,0.30117596750053455,0.9208433799623412,0.018763081009452596
25,hgb,0.30117596750053455,0.9232238461891734,0.015259599260061367
